Season,Short Conference Name,Mapped Conference Name,Mapped ESPN Team Name,Current Coach,Full Team Name,Seed
2025,A10,Atlantic 10 Conference (A-10),Dayton,Anthony Grant,Dayton Flyers,1
2025,ACC,Atlantic Coast Conference (ACC),SMU,Andy Enfield,SMU Mustangs,1
2025,BW,Big West Conference (BWC),UC Irvine,Russell Turner,UC Irvine Anteaters,1
2025,WCC,West Coast Conference (WCC),San Francisco,Chris Gerlufsen,San Francisco Dons,1
2025,A10,Atlantic 10 Conference (A-10),George Mason,Tony Skinn,George Mason Patriots,2
2025,ACC,Atlantic Coast Conference (ACC),Stanford,Kyle Smith,Stanford Cardinal,2
2025,Amer,American Athletic Conference (AAC),North Texas,Ross Hodge,North Texas Mean Green,2
2025,WCC,West Coast Conference (WCC),Santa Clara,Herb Sendek,Santa Clara Broncos,2
2025,A10,Atlantic 10 Conference (A-10),Saint Joseph's,Billy Lange,Saint Joseph's Hawks,3
2025,A10,Atlantic 10 Conference (A-10),St. Bonaventure,Mark Schmidt,St. Bonaventure Bonnies,3
2025,MVC,Missouri Valley Conference (MVC),Bradley,Brian Wardle,Bradley Braves,3
2025,SB,Sun Belt Conference (SBC),Arkansas State,Bryan Hodgson,Arkansas State Red Wolves,3
2025,ACC,Atlantic Coast Conference (ACC),Georgia Tech,Damon Stoudamire,Georgia Tech Yellow Jackets,4
2025,B12,Big 12 Conference,Oklahoma State,Steve Lutz,Oklahoma State Cowboys,4
2025,CUSA,Conference USA (CUSA),Middle Tennessee,Nick McDevitt,Middle Tennessee Blue Raiders,4
2025,MWC,Mountain West Conference (MW),San Jose State,Tim Miles,San Jose State Spartans,4
2025,A10,Atlantic 10 Conference (A-10),Loyola Chicago,Drew Valentine,Loyola Chicago Ramblers,5
2025,Amer,American Athletic Conference (AAC),Wichita State,Paul Mills,Wichita State Shockers,5
2025,CUSA,Conference USA (CUSA),Jacksonville State,Ray Harper,Jacksonville State Gamecocks,5
2025,SC,Southern Conference (SoCon),Chattanooga,Dan Earl,Chattanooga Mocs,5
2025,A10,Atlantic 10 Conference (A-10),Saint Louis,Josh Schertz,Saint Louis Billikens,6
2025,Amer,American Athletic Conference (AAC),UAB,Andy Kennedy,UAB Blazers,6
2025,ASun,Atlantic Sun Conference (ASUN),North Alabama,Tony Pujol,North Alabama Lions,6
2025,MAC,Mid-American Conference (MAC),Kent State,Rob Senderoff,Kent State Golden Flashes,6
2025,BW,Big West Conference (BWC),Cal State Northridge,Andy Newman,Cal State Northridge Matadors,7
2025,BW,Big West Conference (BWC),UC Riverside,Mike Magpayo,UC Riverside Highlanders,7
2025,SC,Southern Conference (SoCon),Samford,Bucky McMillan,Samford Bulldogs,7
2025,SC,Southern Conference (SoCon),Furman,Bob Richey,Furman Paladins,7
2025,Amer,American Athletic Conference (AAC),Florida Atlantic,John Jakus,Florida Atlantic Owls,8
2025,BSky,Big Sky Conference,Northern Colorado,Steve Smiley,Northern Colorado Bears,8
2025,MVC,Missouri Valley Conference (MVC),Northern Iowa,Ben Jacobson,Northern Iowa Panthers,8
2025,WAC,Western Athletic Conference (WAC),Utah Valley,Todd Phillips,Utah Valley Wolverines,8
